_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek
66f074d494e23727cab05ac2,46,Szymon Bańdur,Krosno,1.1379310344827587,0.35344827586206895,56,10,58,0.40186915887850466,-0.13953488372093023,-6,3,15,17,23,0,3,0,1,0.05172413793103448,43,64,5,11,-21,1.3333333333333333,0.8461538461538461,1.4,0.9333333333333333,1.25,1,16,3654,,,Akademia Żużlowa Janusza Kołodzieja
66f074d494e23727cab05ac3,47,Adrian Gała,Gdańsk,1.1282051282051282,0.3076923076923077,39,5,39,0.4074074074074074,-0.13636363636363635,-3,5,6,12,16,4,2,0,1,0.1282051282051282,22,32,2,5,-10,1.1111111111111112,1,0.875,1.4166666666666667,1.2,1,8,32,,,
66f074d494e23727cab05ac4,48,Bartosz Nowak,Łódź,1.1081081081081081,0.35135135135135137,37,4,37,0.38333333333333336,-0.08695652173913043,-2,4,8,9,16,0,2,0,1,0.10810810810810811,23,37,5,7,-14,0.8571428571428571,0.4,1.4166666666666667,1.2307692307692308,1.5263157894736843,0.6666666666666666,12,3658,,,Polonia Bydgoszcz
66f074d494e23727cab05ac5,49,Franciszek Karczewski,Bydgoszcz,1.0625,0.3700787401574803,61,7,64,0.3821138211382114,-0.0851063829787234,-4,8,8,21,27,0,1,0,0,0.125,47,76,7,11,-29,1.368421052631579,1.4166666666666667,0.375,0.38461538461538464,1.3823529411764706,0.7,20,3633,,,Włókniarz Częstochowa
66f074d494e23727cab05ac6,50,Wiktor Rafalski,Rzeszów,1.0,0.3132530120481928,40,2,42,0.2727272727272727,0.0,0,7,7,5,23,5,0,0,0,0.16666666666666666,21,56,4,4,-35,1.5833333333333333,0.8333333333333334,0.5454545454545454,1,0.9523809523809523,1.0476190476190477,14,3608,,,GKM Grudziądz
66f074d494e23727cab05ac7,51,Mateusz Dul,Poznań,0.9591836734693877,0.30612244897959184,38,9,49,0.4235294117647059,-0.25,-9,1,10,15,23,1,3,3,0,0.02040816326530612,36,49,4,13,-13,1.2142857142857142,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.96,0.9583333333333334,13,742,,,Sparta Wrocław
66f074d494e23727cab05ac8,52,Jesper Knudsen,Rzeszów,0.8979591836734694,0.28865979381443296,41,3,49,0.3870967741935484,-0.1388888888888889,-5,6,8,7,28,3,0,0,1,0.12244897959183673,36,57,3,8,-21,1.1538461538461537,1.1818181818181819,0,1.2307692307692308,0.6818181818181818,1.0740740740740742,14,3614,,,
66f074d494e23727cab05ac9,53,Kacper Teska,Poznań,0.7592592592592593,0.2222222222222222,34,7,54,0.23232323232323232,-0.13043478260869565,-3,1,5,21,27,1,1,0,0,0.018518518518518517,23,76,3,6,-53,0.7272727272727273,0.8181818181818182,0.625,0.875,0.8928571428571429,0.6153846153846154,16,3617,,,Unia Leszno
66f074d494e23727cab05aca,54,Miłosz Wysocki,Gdańsk,0.6415094339622641,0.1320754716981132,29,5,53,0.26582278481012656,-0.38095238095238093,-8,1,5,16,31,1,5,1,2,0.018867924528301886,21,58,0,8,-37,0.5625,0.6428571428571429,0.45454545454545453,0.9166666666666666,0.5,0.7586206896551724,14,3592,,,GKM Grudziądz
66f074d494e23727cab05acb,55,Michael Jepsen Jensen,Poznań,2.0,0.5,9,1,5,0.4,0.16666666666666666,1,2,0,3,0,0,0,0,0,0.4,4,6,1,0,-2,3,1.5,,2,2,,1,52,,,
