_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,Column35,Column36,id,ELO
641cb405e7de334dde16fd22,1,Bartosz Zmarzlik,Gorzów,2.679,278,6,106,75,23,7,1,0,0,0,0,0.70754717,2.731,2.63,2.64,2.591,2.643,2.806,20,0.708133971,0.524590164,148,61,87,45,13,32,0.101139601,0.858490566,,0.716981132,95,1514
641cb405e7de334dde16fd23,2,Nicki Pedersen,Grudziądz,2.448,67,4,29,16,7,5,1,0,1,0,0,0.551724138,2.5,2.364,2.714,2.583,2.667,1.857,5,0.75,0.071428571,42,14,28,5,4,1,0.136363636,0.75862069,,0.586206897,110,1212
641cb405e7de334dde16fd24,4,Leon Madsen,Częstochowa,2.275,221,11,102,47,31,18,6,0,0,0,0,0.460784314,2.519,2.02,2.269,1.818,2.474,2.457,20,0.581280788,0.247058824,118,85,33,37,16,21,0.499230769,0.68627451,,0.519607843,30,1370
641cb405e7de334dde16fd25,8,Dominik Kubera,Lublin,2.14,209,20,107,42,31,21,13,2,1,1,0,0.392523364,2.135,2.145,1.964,2.095,2,2.483,18,0.679425837,-0.021126761,142,67,75,19,22,-3,-0.010839161,0.658878505,,0.514018692,415,1284
641cb405e7de334dde16fd26,5,Martin Vaculik,Gorzów,2.27,190,12,89,40,30,10,9,0,0,0,0,0.449438202,2.34,2.19,2.542,2.16,1.95,2.4,18,0.691860465,0.113207547,119,53,66,17,11,6,0.149949341,0.726256983,,0.550561798,54,1308
641cb405e7de334dde16fd27,10,Anders Thomsen,Gorzów,2.046,116,17,65,20,21,14,10,1,0,0,0,0.307692308,2.2,1.867,2,2.133,2,2.053,14,0.625,0.041666667,80,48,32,9,7,2,0.333333333,0.646153846,,0.461538462,5,1223
641cb405e7de334dde16fd28,11,Kacper Woryna,Częstochowa,2.02,176,22,98,31,31,21,15,0,3,1,0,0.316326531,2.137,1.894,2.56,1.821,1.867,1.8,20,0.593582888,0.105263158,111,76,35,21,13,8,0.243637881,0.61928934,,0.469387755,223,1166
641cb405e7de334dde16fd29,3,Janusz Kołodziej,Leszno,2.427,173,9,75,39,24,8,4,0,1,0,0,0.52,2.415,2.441,2.533,2.059,2.526,2.542,15,0.616438356,0.357142857,90,56,34,28,8,20,-0.026542324,0.746666667,,0.573333333,333,1196
641cb405e7de334dde16fd2a,6,Mikkel Michelsen,Lublin,2.229,217,17,105,54,19,17,15,2,2,1,0,0.514285714,2.28,2.182,2.292,2.345,1.885,2.385,19,0.712871287,0.051724138,144,58,86,15,12,3,0.098181818,0.704761905,,0.657142857,155,1344
641cb405e7de334dde16fd2b,7,Maciej Janowski,Wrocław,2.198,210,12,101,43,31,19,8,1,0,0,0,0.425742574,2.28,2.118,2.348,2.227,2.2,2.065,16,0.550505051,0.235955056,109,89,20,36,15,21,0.162352941,0.668316832,,0.504950495,71,1446
641cb405e7de334dde16fd2c,9,Robert Lambert,Toruń,2.128,245,21,125,43,44,28,10,0,0,0,0,0.344,2.328,1.938,2.219,2.148,2.061,2.091,20,0.588709677,0.088235294,146,102,44,32,23,9,0.390368852,0.628,,0.424,505,1273
641cb405e7de334dde16fd2d,12,Patryk Dudek,Toruń,2.0,214,26,120,41,30,31,18,2,1,0,1,0.341666667,2.082,1.915,2.28,1.879,1.862,2.03,20,0.612068966,-0.007042254,142,90,52,18,19,-1,0.166712976,0.609243697,,0.491666667,692,1297
