_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,srednia 2022,roznica 23-22,empty_AK,empty_AL,empty_AM,empty_AN,empty_AO,empty_AP,empty_AQ,id
661d8faa3fbc5e0ca1411159,48,Mateusz Bartkowiak,Gorzów,0.941,24,8,34,2,5,8,19,0,0,0,0,0.0588235294117647,0.944444444444444,0.9375,1.7,0.636363636363636,0.3,1.66666666666667,1,12,0.34375,-0.227272727272727,22,42,-20,2,7,-5,0.00694444444444442,0.308823529411765,0.814,0.127,,,,,,,0.705,1008
661d8faa3fbc5e0ca141115a,49,Kajetan Kupiec,Częstochowa,0.935,37,6,46,3,6,16,21,0,4,0,1,0.0652173913043478,0.91304347826087,0.956521739130435,1,1,0.909090909090909,0.818181818181818,1,16,0.316455696202532,-0.04,25,54,-29,3,4,-1,-0.0434782608695653,0.293478260869565,,,,,,,,,0.605,3598
661d8faa3fbc5e0ca141115b,51,Antoni Mencel,Leszno,0.795,27,8,44,1,6,12,25,2,0,0,0,0.0227272727272727,0.791666666666667,0.8,1.11111111111111,0.444444444444444,0.6,1.09090909090909,1,13,0.380952380952381,-0.34375,32,52,-20,1,12,-11,-0.00833333333333341,0.25,,,,,,,,,,3615
661d8faa3fbc5e0ca141115c,50,Franciszek Karczewski,Częstochowa,0.917,39,5,48,6,4,13,25,1,1,1,1,0.125,0.96,0.869565217391304,1.125,1.30769230769231,0.5,0.444444444444444,1,16,0.295454545454545,-0.192307692307692,26,62,-36,0,5,-5,0.0904347826086956,0.260416666666667,,,,,,,,,,3633
661d8faa3fbc5e0ca141115d,52,Krzysztof Lewandowski,Toruń,0.754,43,3,61,3,6,22,30,0,0,0,0,0.0491803278688525,1,0.516129032258065,0.857142857142857,0.789473684210526,0.333333333333333,1.07692307692308,1,19,0.15,0.0588235294117647,18,102,-84,7,1,6,0.483870967741935,0.221311475409836,0.966,-0.212,,,,,,,,3561
661d8faa3fbc5e0ca141115e,53,Kacper Grzelak,Lublin,0.674,24,5,43,1,5,11,26,1,2,0,0,0.0232558139534884,0.7,0.652173913043478,0.666666666666667,0.777777777777778,0.454545454545455,0.818181818181818,1,17,0.320987654320988,-0.192307692307692,26,55,-29,1,6,-5,0.0478260869565217,0.244186046511628,,,,,,,,,,3523
661d8faa3fbc5e0ca141115f,54,Mateusz Affelt,Toruń,0.528,23,5,53,1,4,12,36,1,1,0,0,0.0188679245283019,0.821428571428571,0.2,0.875,0.75,0.25,0.153846153846154,1,19,0.13,-0.230769230769231,13,87,-74,1,4,-3,0.621428571428571,0.141509433962264,,,,,,,,,,3621
661d8faa3fbc5e0ca1411160,55,Charles Wright,Wrocław,1.333,2,2,3,0,0,2,1,0,1,0,0,0.0,1.33333333333333,,0,2,2,,0,1,0.25,0.333333333333333,1,3,-2,1,0,1,#XL_EVAL_ERROR#,0.333333333333333,,,,,,,,,,3028
661d8faa3fbc5e0ca1411161,56,Chris Holder,Leszno,1.241,35,1,29,4,7,9,9,1,0,0,0,0.137931034482759,1.4375,1,1.57142857142857,1.125,0.857142857142857,1.42857142857143,0,8,0.293103448275862,0,17,41,-24,4,4,0,0.4375,0.293103448275862,1.975,-0.734,,,,,,,,23
661d8faa3fbc5e0ca1411162,57,Wiktor Rafalski,Grudziądz,1.0,7,2,9,0,2,3,4,0,0,0,0,0.0,0.5,1.4,2,0.333333333333333,1.5,0,0,5,0.222222222222222,0,4,14,-10,0,0,0,-0.9,0.222222222222222,,,,,,,,,,3608
