Drużyna gospodarzy,Drużyna gości,Tor,Data,Kolejka,Punkty gospodarzy,Punkty gości,Zestaw pól startowych,Zawodnik1,Zawodnik2,Zawodnik3,Zawodnik4,Zawodnik5,Zawodnik6,Zawodnik7,Zawodnik8,Zawodnik9,Zawodnik10,Zawodnik11,Zawodnik12,Zawodnik13,Zawodnik14,Zawodnik15,Zawodnik16,Zawodnik1_punkty,Zawodnik2_punkty,Zawodnik3_punkty,Zawodnik4_punkty,Zawodnik5_punkty,Zawodnik6_punkty,Zawodnik7_punkty,Zawodnik8_punkty,Zawodnik9_punkty,Zawodnik10_punkty,Zawodnik11_punkty,Zawodnik12_punkty,Zawodnik13_punkty,Zawodnik14_punkty,Zawodnik15_punkty,Zawodnik16_punkty,Plik PDF,Sezon
TARNÓW,GORZÓW,Tarnów,"29.07.2018,",11,38,52,1,Vaculik Martin,Woźniak Szymon,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Karczmarz Rafał,Czerniawski Hubert,Szczotka Alan,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Knapik Dawid,Rolnicki Patryk,Kulakov Viktor,9.0,7.0,14,5,14.0,3,0.0,,9,4.0,5.0,8,6,1,5,,336.pdf,2018
GRUDZIĄDZ,TORUŃ,Grudziądz,"29.07.2018,",11,49,41,1,Zaw. Zastępstwo,Przedpełski Paweł,Holta Rune,Holder Chris,Iversen Niels Kristian,Kaczmarek Daniel,Kopeć-Sobczyński Igor,Holder Jack,Pawlicki Przemysław,Huckenbeck Kai,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,,7.0,0,9,10.0,5,2.0,8.0,11,0.0,12.0,7,16,0,2,1.0,337.pdf,2018
GORZÓW,WROCŁAW,Gorzów,"12.08.2018,",12,46,44,1,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Milik Vaclav,Fricke Max,Drabik Maksym,Liszka Przemysław,Wojdyło Patryk,Kasprzak Krzysztof,Walasek Grzegorz,Vaculik Martin,Woźniak Szymon,Zmarzlik Bartosz,Czerniawski Hubert,Karczmarz Rafał,,10.0,0.0,13,7,7.0,6,1.0,,11,1.0,10.0,6,12,0,6,,338.pdf,2018
LESZNO,GRUDZIĄDZ,Leszno,"12.08.2018,",12,50,40,1,Pawlicki Przemysław,Pieszczek Krystian,Lindbaeck Antonio,Buczkowski Krzysztof,Laguta Artem,Wieczorek Kamil,Lotarski Damian,,Sayfutdinov Emil,Hampel Jarosław,Kurtz Brady,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Szlauderbach Szymon,,9.0,1.0,9,3,15.0,3,0.0,,8,10.0,7.0,6,5,10,4,,339.pdf,2018
CZĘSTOCHOWA,ZIELONA,Częstochowa,"12.08.2018,",12,52,38,2,Jepsen Jensen Michael,Thorssell Jacob,Zengota Grzegorz,Protasiewicz Piotr,Dudek Patryk,Pawliczak Damian,Tonder Mateusz,,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Świącik Bartosz,Gruchalski Michał,Lyager Andreas,8.0,6.0,1,7,9.0,1,6.0,,15,2.0,9.0,9,14,0,3,,340.pdf,2018
TORUŃ,TARNÓW,Toruń,"12.08.2018,",12,51,39,1,Bjerre Kenneth,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Pedersen Nicki,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Doyle Jason,Kościelski Marcin,Przedpełski Paweł,Holder Chris,Iversen Niels Kristian,Kopeć-Sobczyński Igor,Kaczmarek Daniel,Holder Jack,14.0,0.0,9,5,9.0,2,0.0,0.0,10,,6.0,7,12,2,4,10.0,341.pdf,2018
TARNÓW,CZĘSTOCHOWA,Tarnów,"19.08.2018,",13,51,39,1,Madsen Leon,Musielak Tobiasz,Miedziński Adrian,Zagar Matej,Lindgren Fredrik,Gruchalski Michał,Świącik Bartosz,Lyager Andreas,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Konieczny Kacper,Rolnicki Patryk,Kulakov Viktor,16.0,0.0,10,5,3.0,3,1.0,1.0,12,10.0,10.0,6,9,0,4,,342.pdf,2018
WROCŁAW,TORUŃ,Wrocław,"19.08.2018,",13,45,45,2,Doyle Jason,Rydlewski Aleks,Przedpełski Paweł,Holder Chris,Iversen Niels Kristian,Kościelski Marcin,Kopeć-Sobczyński Igor,Holder Jack,Woffinden Tai,Dróżdż Damian,Janowski Maciej,Fricke Max,Milik Vaclav,Liszka Przemysław,Drabik Maksym,,8.0,,6,2,14.0,0,4.0,11.0,9,0.0,12.0,4,9,4,7,,343.pdf,2018
GRUDZIĄDZ,ZIELONA,Grudziądz,"19.08.2018,",13,55,35,2,Thorssell Jacob,Protasiewicz Piotr,Dudek Patryk,Zengota Grzegorz,Jepsen Jensen Michael,Pawliczak Damian,Tonder Mateusz,,Lindbaeck Antonio,Huckenbeck Kai,Pawlicki Przemysław,Buczkowski Krzysztof,Laguta Artem,Wawrzyniak Dawid,Wieczorek Kamil,Pieszczek Krystian,0.0,10.0,14,0,8.0,3,0.0,,12,4.0,8.0,8,14,4,5,,344.pdf,2018
ZIELONA,TARNÓW,Zielona Góra,"26.08.2018,",14,51,39,2,Pedersen Nicki,Mroczka Artur,Jamróg Jakub,Kildemand Peter,Bjerre Kenneth,Rolnicki Patryk,Konieczny Kacper,Kulakov Viktor,Dudek Patryk,Zengota Grzegorz,Protasiewicz Piotr,Thorssell Jacob,Jepsen Jensen Michael,Tonder Mateusz,Pawliczak Damian,Zgardziński Alex,8.0,2.0,8,5,11.0,5,0.0,,14,7.0,9.0,3,11,4,3,,345.pdf,2018
LESZNO,WROCŁAW,Leszno,"26.08.2018,",14,55,35,2,Woffinden Tai,Dróżdż Damian,Milik Vaclav,Janowski Maciej,Fricke Max,Drabik Maksym,Liszka Przemysław,Wojdyło Patryk,Sayfutdinov Emil,Hampel Jarosław,Kurtz Brady,Kołodziej Janusz,Pawlicki Piotr,Smektała Bartosz,Szlauderbach Szymon,,12.0,0.0,0,9,4.0,9,1.0,,11,10.0,5.0,9,10,10,0,,346.pdf,2018
TORUŃ,GORZÓW,Toruń,"26.08.2018,",14,55,35,1,Vaculik Martin,Woźniak Szymon,Kasprzak Krzysztof,Walasek Grzegorz,Zmarzlik Bartosz,Karczmarz Rafał,Szczotka Alan,Czerniawski Hubert,Doyle Jason,Holder Chris,Kościelski Marcin,Przedpełski Paweł,Iversen Niels Kristian,Kopeć-Sobczyński Igor,Kaczmarek Daniel,Holder Jack,6.0,0.0,11,1,16.0,0,1.0,,8,9.0,,3,11,4,9,11.0,348.pdf,2018
