_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,KLASYFIKOWANY?,id,wychowanek,status PL 2025
68dad4084ab80160062ea3b3,64,Maksym Borowiak,Rybnik,0.5909090909090909,0.1590909090909091,13,0,22,0.16279069767441862,-0.14285714285714285,-1,1,4,2,15,1,0,0,0,0.045454545454545456,7,36,0,1,-29,1.125,0.25,0,1,0.75,0.5,7,0,3611,Unia Leszno,JP
68dad4084ab80160062ea3b4,65,Mikołaj Krok,Gorzów,0.55,0.15,8,3,20,0.1388888888888889,-0.4,-2,0,2,4,14,0,1,0,0,0.0,5,31,0,2,-26,1,0.6,0,0.8571428571428571,0.7,0.4,10,0,,Stal Gorzów,JP
68dad4084ab80160062ea3b5,60,Philip Hellstrom-Bangs,Częstochowa,0.7083333333333334,0.1875,13,4,24,0.21739130434782608,-0.3,-3,1,1,8,14,0,1,0,0,0.041666666666666664,10,36,1,4,-26,1,0.8,0.25,1,1,0.4166666666666667,7,0,3482,,SO
68dad4084ab80160062ea3b6,66,Kacper Tkocz,Rybnik,0.5277777777777778,0.1111111111111111,17,2,36,0.19117647058823528,-0.38461538461538464,-5,1,3,8,24,0,2,0,0,0.027777777777777776,13,55,2,7,-42,0.5714285714285714,0.4444444444444444,0.6363636363636364,0.4444444444444444,0.65,0.375,12,0,3583,ROW Rybnik,JP
68dad4084ab80160062ea3b7,67,Gracjan Szostak,Zielona Góra,0.5,0.125,3,1,8,0.125,0.0,0,0,0,3,5,0,0,0,0,0.0,2,14,0,0,-12,2,0.5,0,0.5,1,0,3,0,,Arged Malesa Ostrów,JP
68dad4084ab80160062ea3b8,68,Jan Przanowski,Grudziądz,0.4666666666666667,0.1,6,1,15,0.1724137931034483,-0.6,-3,0,1,4,10,0,0,0,0,0.0,5,24,0,3,-19,0.2,0.3333333333333333,0.5,1,0,0.5384615384615384,6,0,,GKM Grudziądz,JP
68dad4084ab80160062ea3b9,69,Michał Curzytek,Zielona Góra,0.3,0.05,3,0,10,0.15,-0.6666666666666666,-2,0,0,3,7,0,0,0,0,0.0,3,17,1,3,-14,0,0,0.5,0.3333333333333333,0.5,0.25,4,0,3460,Stal Rzeszów,SP
68dad4084ab80160062ea3ba,70,Oskar Chatłas,Gorzów,0.25,0.08333333333333333,3,0,12,0.043478260869565216,0.0,0,0,0,3,9,1,0,0,0,0.0,1,22,0,0,-21,0,0.25,0.25,0.3333333333333333,0.375,0,7,0,,Stal Gorzów,JP
68dad4084ab80160062ea3bb,71,Krystian Gręda,Wrocław,0.0,0.0,0,0,4,0.0,0.0,0,0,0,0,4,0,0,1,0,0.0,0,8,0,0,-8,0,,,0,,0,1,0,,Sparta Wrocław,JP
68dad4084ab80160062ea3bc,72,Damian Miller,Grudziądz,0.0,0.0,0,0,2,0.0,0.0,0,0,0,0,2,0,0,1,0,0.0,0,4,0,0,-4,,0,,,,0,1,0,,GKM Grudziądz,JP
68dad4084ab80160062ea3bd,73,Eryk Farański,Zielona Góra,0.0,0.0,0,0,2,0.0,0.0,0,0,0,0,2,0,0,0,0,0.0,0,4,0,0,-4,,0,0,,,0,1,0,,Sparta Wrocław,JP
68dad4084ab80160062ea3be,74,Mitchell McDiarmid,Zielona Góra,0.0,0.0,0,0,2,0.0,0.0,0,0,0,0,2,0,0,0,0,0.0,0,4,1,1,-4,,0,0,,0,,1,0,,,JO
68dad4084ab80160062ea3bf,75,Oskar Rumiński,Toruń,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,2,0,0,-2,0,,,,,0,1,0,3677,Apator Toruń,JP
