_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,Kolumna1,id,ELO
6171b59062d0a6d89c9e14f5,15,Jack Holder,Toruń,1.943,128,8,70,20,24,20,6,0,0,0,0,0.285714286,2,1.886,2.056,2.059,1.882,1.778,13,0.540740741,0.016129032,73,62,11,16,15,1,0.114285714,25,1187
6171b59062d0a6d89c9e14f6,16,Paweł Przedpełski,Toruń,1.909,116,10,66,18,26,10,12,0,0,0,0,0.272727273,1.914,1.903,2.188,1.778,1.294,2.467,13,0.596899225,-0.077922078,77,52,25,12,18,-6,0.011059908,323,1222
6171b59062d0a6d89c9e14f7,17,Anders Thomsen,Gorzów,1.839,158,13,93,29,25,21,18,0,3,0,0,0.311827957,1.841,1.837,1.864,1.591,1.682,2.148,18,0.528089888,0.107142857,94,84,10,23,14,9,0.004174397,5,1223
6171b59062d0a6d89c9e14f8,18,Grigorij Laguta,Lublin,1.833,137,6,78,27,20,16,15,7,4,0,1,0.346153846,1.946,1.732,2.048,1.737,1.867,1.696,16,0.545454545,0.107692308,78,65,13,18,11,7,0.214238629,111,1199
6171b59062d0a6d89c9e14f9,19,Max Fricke,Zielona Góra,1.816,130,8,76,15,30,25,6,0,0,0,0,0.197368421,1.743,1.878,2.059,1.833,1.636,1.789,14,0.44966443,0.073170732,67,82,-15,19,13,6,-0.135191638,46,1248
6171b59062d0a6d89c9e14fa,20,Wiktor Lampart,Lublin,1.809,107,16,68,19,17,16,16,0,0,0,2,0.279411765,1.853,1.765,2.136,1.5,1.647,1.8,18,0.635658915,-0.085365854,82,47,35,5,12,-7,0.088235294,3275,1103
6171b59062d0a6d89c9e14fb,21,Szymon Woźniak,Gorzów,1.797,122,20,79,17,24,23,15,0,1,0,1,0.215189873,1.8,1.795,2.2,1.739,1.714,1.467,16,0.587837838,-0.057471264,87,61,26,13,18,-5,0.005128205,48,1255
6171b59062d0a6d89c9e14fc,22,Dominik Kubera,Lublin,1.795,131,18,83,18,26,25,14,0,2,0,0,0.21686747,2.089,1.447,2,1.893,1.889,1.455,17,0.641509434,-0.137254902,102,57,45,14,28,-14,0.641520468,415,1284
6171b59062d0a6d89c9e14fd,23,Daniel Bewley,Wrocław,1.741,130,18,85,18,25,26,16,0,2,0,0,0.211764706,1.767,1.714,2.182,1.647,1.381,1.72,18,0.457831325,0.155555556,76,90,-14,22,8,14,0.053156146,99,1211
6171b59062d0a6d89c9e14fe,24,Gleb Chugunov,Wrocław,1.698,126,20,86,20,17,32,17,0,3,0,0,0.23255814,1.575,1.804,1.773,1.952,1.435,1.65,18,0.536585366,0.052631579,88,76,12,19,15,4,-0.229347826,3247,1189
6171b59062d0a6d89c9e14ff,25,Mateusz Świdnicki,Częstochowa,1.694,46,15,36,4,12,10,10,0,1,0,0,0.111111111,1.667,1.722,2.222,1,2,1.333,12,0.53030303,0.032258065,35,31,4,5,4,1,-0.055555556,3264,1047
6171b59062d0a6d89c9e1500,26,Matej Zagar,Zielona Góra,1.689,93,10,61,17,12,18,14,2,1,0,0,0.278688525,1.581,1.8,1.385,1.941,1.786,1.588,14,0.535087719,-0.016393443,61,53,8,14,15,-1,-0.219354839,55,1231
6171b59062d0a6d89c9e1501,27,Piotr Pawlicki,Leszno,1.667,135,5,84,23,25,16,20,1,2,0,2,0.273809524,1.333,1.956,2.045,1.857,1.118,1.542,18,0.601265823,-0.168421053,95,63,32,18,34,-16,-0.622222222,777,1195
6171b59062d0a6d89c9e1502,28,Fredrik Lindgren,Częstochowa,1.652,109,5,69,20,14,21,14,2,1,0,0,0.289855072,1.886,1.412,1.722,1.6,1.35,2.0,14,0.459259259,0.068493151,62,73,-11,20,15,5,0.47394958,66,1149
6171b59062d0a6d89c9e1503,29,Jarosław Hampel,Lublin,1.636,134,10,88,22,26,16,24,0,0,0,0,0.25,1.884,1.4,1.958,2,1,1.545,18,0.583815029,-0.207920792,101,72,29,5,26,-21,0.48372093,33,1142
6171b59062d0a6d89c9e1504,31,Chris Holder,Toruń,1.594,88,14,64,8,19,26,11,0,0,0,0,0.125,1.733,1.471,2.1,1.571,1.417,1.167,14,0.435483871,-0.018518519,54,70,-16,10,11,-1,0.262745098,23,1091
6171b59062d0a6d89c9e1505,30,Przemysław Pawlicki,Grudziądz,1.634,107,9,71,14,23,19,15,1,3,0,0,0.197183099,1.917,1.343,2,1.579,1.375,1.636,14,0.590909091,-0.192307692,78,54,24,8,23,-15,0.573809524,59,1195
6171b59062d0a6d89c9e1506,32,Kacper Woryna,Częstochowa,1.593,72,22,59,6,18,18,17,0,1,0,0,0.101694915,1.719,1.444,1.333,1.647,1.812,1.5,14,0.504347826,-0.051724138,58,57,1,13,16,-3,0.274305556,223,1166
6171b59062d0a6d89c9e1507,33,Kenneth Bjerre,Grudziądz,1.591,96,9,66,11,22,19,14,0,2,0,0,0.166666667,1.667,1.515,1.562,1.176,2.071,1.632,14,0.440944882,0.028169014,56,71,-15,15,13,2,0.151515152,91,1151
6171b59062d0a6d89c9e1508,34,Piotr Protasiewicz,Zielona Góra,1.591,95,10,66,11,17,28,10,0,0,0,0,0.166666667,1.697,1.485,1.667,1.231,1.467,1.882,14,0.4296875,-0.018181818,55,73,-18,16,17,-1,0.212121212,151,1127
6171b59062d0a6d89c9e1509,35,Bartosz Smektała,Częstochowa,1.493,92,8,67,16,15,14,22,0,0,0,0,0.23880597,1.676,1.303,1.556,1.667,1.5,1.2,10,0.54887218,-0.191780822,73,60,13,5,19,-14,0.373440285,115,1113
6171b59062d0a6d89c9e150a,37,Adrian Miedziński,Toruń,1.45,76,11,60,9,19,11,21,0,4,1,0,0.15,1.771,1,1.846,1.231,1.438,1.333,17,0.445454545,0.049180328,49,61,-12,14,11,3,0.771428571,20,1093
6171b59062d0a6d89c9e150b,36,Krzysztof Kasprzak,Grudziądz,1.489,59,8,45,9,9,14,13,1,1,0,0,0.2,1.895,1.192,2.167,1.273,1.444,1.077,14,0.435294118,-0.054054054,37,48,-11,9,11,-2,0.70242915,187,1137
6171b59062d0a6d89c9e150c,38,Jaimon Lidsey,Leszno,1.403,89,12,72,17,11,16,28,2,0,0,0,0.236111111,1.6,1.156,2.19,1.059,1.474,0.6,18,0.517482517,-0.094594595,74,69,5,7,14,-7,0.44375,27,1123
6171b59062d0a6d89c9e150d,39,Mateusz Cierniak,Lublin,1.333,63,17,60,6,12,21,21,0,2,0,0,0.1,1.516,1.138,1.333,1.643,1.467,0.938,13,0.483050847,-0.105263158,57,61,-4,9,15,-6,0.378197998,3477,1016
6171b59062d0a6d89c9e150e,40,Norbert Krakowiak,Grudziądz,1.306,55,9,49,6,9,19,15,2,1,1,0,0.12244898,1.423,1.174,1.273,1.786,1.133,0.889,18,0.423913043,-0.153846154,39,53,-14,6,12,-6,0.24916388,1099,1062
6171b59062d0a6d89c9e150f,42,Jonas Jeppesen,Częstochowa,1.255,54,10,51,5,12,15,19,2,2,0,0,0.098039216,1.13,1.357,1.9,0.833,1,1.4,18,0.322916667,0.092307692,31,65,-34,14,8,6,-0.226708075,3496,1043
6171b59062d0a6d89c9e1510,44,Przemysław Liszka,Wrocław,1.145,55,8,55,8,4,23,20,0,0,0,0,0.145454545,1.115,1.172,1.444,1.263,0.857,0.636,12,0.366972477,-0.075,40,69,-29,2,5,-3,-0.057029178,199,949
