_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,id
60623db9d87fdb04828e131b,35,Kacper Woryna,Rybnik,1.514,101,11,74,14,17,25,18,0,1,0,0,0.189189189,1.773,1.133,1.588,1.5,1.4,1.579,0.438356164,-0.09375,223
60623db9d87fdb04828e131c,36,Michael Jepsen Jensen,Zielona Góra,1.488,105,14,80,15,16,28,21,0,0,0,0,0.1875,1.649,1.349,1.85,1.474,1.579,1.091,0.44516129,-0.086956522,52
60623db9d87fdb04828e131d,37,Sergei Logachev,Rybnik,1.488,54,10,43,4,12,18,9,0,1,0,1,0.093023256,1.5,1.467,1.2,1.6,1.538,1.6,0.451219512,-0.108108108,11
60623db9d87fdb04828e131e,38,Antonio Lindbaeck,Zielona Góra,1.259,58,10,54,5,11,21,17,0,0,0,0,0.092592593,1.233,1.292,1.5,1.214,0.923,1.385,0.405660377,-0.139534884,85
60623db9d87fdb04828e131f,39,Krzysztof Kasprzak,Gorzów,1.244,51,5,45,5,10,16,14,0,0,0,1,0.111111111,1.24,1.25,1.231,0.615,2,1.25,0.397727273,-0.114285714,187
60623db9d87fdb04828e1320,40,Adrian Miedziński,Rybnik,1.241,33,3,29,3,8,8,10,0,1,0,0,0.103448276,1.133,1.357,0.875,1.286,1.286,1.571,0.392857143,-0.272727273,20
60623db9d87fdb04828e1321,41,Vaclav Milik,Rybnik,1.226,70,6,62,3,21,19,19,2,2,0,0,0.048387097,1.314,1.111,1.188,1.214,1.286,1.222,0.375,-0.133333333,225
60623db9d87fdb04828e1322,42,Mateusz Szczepaniak,Rybnik,1.207,31,4,29,4,6,7,12,1,0,0,0,0.137931034,1.412,0.917,1.3,1,0.429,1.7,0.379310345,-0.136363636,3128
60623db9d87fdb04828e1323,43,Mateusz Tonder,Zielona Góra,1.182,45,7,44,6,4,19,15,0,0,1,0,0.136363636,1.304,1.048,0.375,1.2,1.077,1.769,0.333333333,-0.074074074,3253
60623db9d87fdb04828e1324,44,Viktor Trofymov,Lublin,1.182,44,8,44,3,10,15,16,0,0,0,0,0.068181818,1.261,1.095,1.385,0.818,1,1.5,0.409090909,-0.111111111,621
60623db9d87fdb04828e1325,45,Mateusz Świdnicki,Częstochowa,1.114,32,7,35,4,4,12,15,1,0,1,0,0.114285714,1.308,1,0.833,0.333,1.3,1.462,0.434782609,-0.2,3264
60623db9d87fdb04828e1326,46,Rafał Karczmarz,Gorzów,1.104,72,2,67,13,10,13,31,0,1,0,0,0.194029851,1.086,1.125,1.375,0.95,0.667,1.5,0.323076923,0.022727273,3167
