_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ
660dbf0cfd867465fcea7da8,28,Patryk Wojdyło,Rybnik,1.67,154,13,100,24,24,34,18,0,1,0,0,0.24,1.84,1.5,2.03846153846154,1.25925925925926,1.76190476190476,1.65384615384615,1,19,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.34,0.505
660dbf0cfd867465fcea7da9,27,Timo Lahti,Łódź,1.67796610169492,89,10,59,12,21,11,15,0,0,0,0,0.203389830508475,1.90322580645161,1.42857142857143,2,1.66666666666667,1.41176470588235,1.66666666666667,1,13,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.474654377880184,0.491525423728814
660dbf0cfd867465fcea7daa,30,Michał Curzytek,Zielona Góra,1.6,101,19,75,13,22,18,22,1,1,0,0,0.173333333333333,1.91666666666667,1.30769230769231,1.76923076923077,1.46153846153846,1.36363636363636,1.75,1,20,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.608974358974359,0.506666666666667
660dbf0cfd867465fcea7dab,31,Norick Bloedorn,Landshut,1.59459459459459,106,12,74,16,18,22,18,1,3,1,0,0.216216216216216,1.76470588235294,1.45,1.85,1.41666666666667,1.26666666666667,1.86666666666667,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.314705882352941,0.489795918367347
660dbf0cfd867465fcea7dac,29,Keynan Rew,Gdańsk,1.66666666666667,109,11,72,14,22,23,13,0,2,0,0,0.194444444444444,1.67567567567568,1.65714285714286,1.92857142857143,1.65,1.35,1.83333333333333,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0185328185328184,0.486111111111111
660dbf0cfd867465fcea7dad,32,Mateusz Szczepaniak,Bydgoszcz,1.56521739130435,68,4,46,11,12,11,12,0,2,0,0,0.239130434782609,2.2,1.07692307692308,1.77777777777778,2.18181818181818,0.923076923076923,1.53846153846154,1,10,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,1.12307692307692,0.489130434782609
660dbf0cfd867465fcea7dae,33,David Bellego,Bydgoszcz,1.55555555555556,91,7,63,18,13,11,21,0,1,0,0,0.285714285714286,1.84210526315789,1.12,2.35714285714286,1.375,1.73333333333333,0.944444444444444,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.722105263157895,0.492063492063492
660dbf0cfd867465fcea7daf,34,Daniel Kaczmarek,Gdańsk,1.55405405405405,103,12,74,16,17,21,20,0,0,0,0,0.216216216216216,1.65714285714286,1.46153846153846,1.9047619047619,0.9375,1.375,1.80952380952381,1,16,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.195604395604396,0.459459459459459
660dbf0cfd867465fcea7db0,35,Michael Jepsen Jensen,Gdańsk,1.55172413793103,82,8,58,9,21,13,15,2,1,0,0,0.155172413793103,1.64516129032258,1.44444444444444,1.58333333333333,1.71428571428571,1.47058823529412,1.46666666666667,1,13,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.200716845878136,0.448275862068966
660dbf0cfd867465fcea7db1,36,Antonio Lindbaeck,Poznań,1.54,66,11,50,10,11,14,15,0,1,0,1,0.2,1.66666666666667,1.35,2.14285714285714,0.75,1.63636363636364,1.53846153846154,1,12,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.316666666666667,0.49
660dbf0cfd867465fcea7db2,37,Jakub Krawczyk,Ostrów,1.53333333333333,105,10,75,19,16,16,24,2,2,0,0,0.253333333333333,1.86111111111111,1.23076923076923,1.55555555555556,1.23529411764706,1.78947368421053,1.52380952380952,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.63034188034188,0.466666666666667
660dbf0cfd867465fcea7db3,38,Tomasz Gapiński,Łódź,1.48387096774194,38,8,31,3,8,13,7,1,0,0,2,0.0967741935483871,1.5,1.47619047619048,2.33333333333333,1.2,1.75,0.857142857142857,1,7,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0238095238095237,0.433333333333333
660dbf0cfd867465fcea7db4,39,Kevin Fajfer,Poznań,1.46,67,6,50,11,13,8,18,0,2,0,0,0.22,1.44827586206897,1.47619047619048,1.64285714285714,0.928571428571429,2,1.41666666666667,1,12,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,-0.0279146141215108,0.46
660dbf0cfd867465fcea7db5,40,Mateusz Tonder,Łódź,1.41818181818182,73,5,55,7,20,12,16,0,1,0,1,0.127272727272727,1.25925925925926,1.57142857142857,1.75,0.909090909090909,1.61538461538462,1.26666666666667,1,14,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,-0.312169312169312,0.390909090909091
660dbf0cfd867465fcea7db6,41,Szymon Szlauderbach,Bydgoszcz,1.41558441558442,96,13,77,13,18,21,25,2,0,0,1,0.168831168831169,1.29411764705882,1.51162790697674,1.93333333333333,1.65,1.04166666666667,1.22222222222222,1,18,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,-0.217510259917921,0.431372549019608
660dbf0cfd867465fcea7db7,42,Sebastian Szostak,Ostrów,1.40425531914894,53,13,47,6,11,13,17,1,0,0,0,0.127659574468085,1.43478260869565,1.375,1.73333333333333,1.375,1.77777777777778,0.285714285714286,1,14,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0597826086956521,0.425531914893617
660dbf0cfd867465fcea7db8,43,Francis Gusts,Ostrów,1.37254901960784,62,8,51,7,12,17,15,0,1,0,0,0.137254901960784,1.39285714285714,1.34782608695652,1.75,1.16666666666667,1.53333333333333,1,1,14,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0450310559006211,0.431372549019608
660dbf0cfd867465fcea7db9,44,Mateusz Dul,Łódź,1.32,59,7,50,9,10,12,19,0,4,1,0,0.18,1.36,1.28,1.875,1.26666666666667,1,0.777777777777778,1,14,#XL_EVAL_ERROR#,0,0,0,0,0,0,0,0.0800000000000001,0.41
